"CTD_Evidence","CTD_PharmaScore","DGIdb_Evidence","DGIdb_Score","DrugShot_Evidence","DrugShot_Score","interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
,,,,,,"pp","9606.ENSP00000354394 (pp) 9606.ENSP00000371471","false","pp","9606.ENSP00000354394 (pp) 9606.ENSP00000371471","0.719","0.0","0.5","0.0","0.0",,"0.0","0.949","0.667"
,,,,,,"pp","9606.ENSP00000354822 (pp) 9606.ENSP00000360876","false","pp","9606.ENSP00000354822 (pp) 9606.ENSP00000360876","0.779","0.0","0.0","0.1","0.0",,"0.0","0.938","0.715"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000497271","0.796","0.0","0.0","0.0","0.0",,"0.0","0.921","0.628"
,,,,,,"pp","9606.ENSP00000354394 (pp) 9606.ENSP00000395590","false","pp","9606.ENSP00000354394 (pp) 9606.ENSP00000395590","0.79","0.0","0.5","0.0","0.0",,"0.0","0.95","0.57"
,,,,,,"pp","9606.ENSP00000354822 (pp) 9606.ENSP00000359783","false","pp","9606.ENSP00000354822 (pp) 9606.ENSP00000359783","0.891","0.0","0.0","0.102","0.0",,"0.0","0.97","0.725"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000359787","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000359787","0.781","0.0","0.0","0.0","0.0",,"0.0","0.922","0.662"
,,,,,,"pp","9606.ENSP00000354822 (pp) 9606.ENSP00000359787","false","pp","9606.ENSP00000354822 (pp) 9606.ENSP00000359787","0.935","0.0","0.0","0.0","0.0",,"0.0","0.981","0.726"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000490935","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000490935","0.757","0.0","0.0","0.091","0.0",,"0.0","0.926","0.693"
,,,,,,"pp","9606.ENSP00000483430 (pp) 9606.ENSP00000490935","false","pp","9606.ENSP00000483430 (pp) 9606.ENSP00000490935","0.416","0.0","0.0","0.054","0.0",,"0.0","0.774","0.624"
,,,,,,"pp","9606.ENSP00000354394 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000354394 (pp) 9606.ENSP00000497271","0.786","0.0","0.0","0.0","0.0",,"0.0","0.963","0.834"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000359783","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000359783","0.8","0.0","0.0","0.0","0.0",,"0.0","0.929","0.663"
,,,,,,"pp","9606.ENSP00000483430 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000483430 (pp) 9606.ENSP00000497271","0.343","0.0","0.0","0.0","0.0",,"0.0","0.785","0.686"
,,,,,,"pp","9606.ENSP00000354394 (pp) 9606.ENSP00000490935","false","pp","9606.ENSP00000354394 (pp) 9606.ENSP00000490935","0.55","0.0","0.5","0.0","0.0",,"0.0","0.963","0.85"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000496832","0.796","0.0","0.0","0.0","0.0",,"0.0","0.941","0.722"
,,,,,,"pp","9606.ENSP00000483430 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000483430 (pp) 9606.ENSP00000496832","0.783","0.0","0.0","0.109","0.0",,"0.0","0.97","0.857"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000371471","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000371471","0.823","0.0","0.0","0.094","0.0",,"0.0","0.941","0.665"
,,,,,,"pp","9606.ENSP00000377344 (pp) 9606.ENSP00000380697","false","pp","9606.ENSP00000377344 (pp) 9606.ENSP00000380697","0.469","0.0","0.0","0.053","0.0",,"0.0","0.745","0.533"
,,,,,,"pp","9606.ENSP00000354394 (pp) 9606.ENSP00000388001","false","pp","9606.ENSP00000354394 (pp) 9606.ENSP00000388001","0.663","0.0","0.5","0.0","0.0",,"0.0","0.966","0.816"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000360876","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000360876","0.792","0.0","0.0","0.091","0.0",,"0.0","0.942","0.719"
,,,,,,"pp","9606.ENSP00000377344 (pp) 9606.ENSP00000395590","false","pp","9606.ENSP00000377344 (pp) 9606.ENSP00000395590","0.625","0.0","0.0","0.126","0.0",,"0.0","0.776","0.37"
,,,,,,"pp","9606.ENSP00000354394 (pp) 9606.ENSP00000359504","false","pp","9606.ENSP00000354394 (pp) 9606.ENSP00000359504","0.79","0.0","0.5","0.0","0.0",,"0.0","0.969","0.734"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000342513","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000342513","0.777","0.0","0.0","0.0","0.0",,"0.0","0.946","0.768"
,,,,,,"pp","9606.ENSP00000377344 (pp) 9606.ENSP00000490935","false","pp","9606.ENSP00000377344 (pp) 9606.ENSP00000490935","0.659","0.0","0.0","0.0","0.0",,"0.0","0.899","0.718"
,,,,,,"pp","9606.ENSP00000354394 (pp) 9606.ENSP00000380697","false","pp","9606.ENSP00000354394 (pp) 9606.ENSP00000380697","0.479","0.0","0.5","0.0","0.0",,"0.0","0.969","0.89"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000354394","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000354394","0.714","0.0","0.5","0.0","0.0",,"0.0","0.959","0.74"
,,,,,,"pp","9606.ENSP00000377344 (pp) 9606.ENSP00000388001","false","pp","9606.ENSP00000377344 (pp) 9606.ENSP00000388001","0.784","0.0","0.0","0.0","0.0",,"0.0","0.933","0.703"
,,,,,,"pp","9606.ENSP00000354394 (pp) 9606.ENSP00000360876","false","pp","9606.ENSP00000354394 (pp) 9606.ENSP00000360876","0.762","0.0","0.5","0.0","0.0",,"0.0","0.985","0.887"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000388001","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000388001","0.79","0.053","0.9","0.0","0.0",,"0.0","0.986","0.416"
,,,,,,"pp","9606.ENSP00000377344 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000377344 (pp) 9606.ENSP00000496832","0.75","0.0","0.0","0.185","0.0",,"0.0","0.939","0.727"
,,,,,,"pp","9606.ENSP00000354394 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000354394 (pp) 9606.ENSP00000496832","0.635","0.0","0.5","0.06","0.0",,"0.0","0.987","0.935"
,,,,,,"pp","9606.ENSP00000228928 (pp) 9606.ENSP00000342278","false","pp","9606.ENSP00000228928 (pp) 9606.ENSP00000342278","0.999","0.058","0.9","0.0","0.0",,"0.0","0.999","0.43"
,,,,,,"pp","9606.ENSP00000377344 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000377344 (pp) 9606.ENSP00000497271","0.791","0.0","0.0","0.094","0.0",,"0.0","0.987","0.939"
,,,,,,"pp","9606.ENSP00000395590 (pp) 9606.ENSP00000483430","false","pp","9606.ENSP00000395590 (pp) 9606.ENSP00000483430","0.449","0.0","0.0","0.0","0.0",,"0.0","0.781","0.619"
,,,,,,"pp","9606.ENSP00000395590 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000395590 (pp) 9606.ENSP00000497271","0.653","0.0","0.0","0.0","0.0",,"0.0","0.843","0.566"
,,,,,,"pp","9606.ENSP00000395590 (pp) 9606.ENSP00000490935","false","pp","9606.ENSP00000395590 (pp) 9606.ENSP00000490935","0.637","0.0","0.0","0.0","0.0",,"0.0","0.849","0.6"
,,,,,,"pp","9606.ENSP00000395590 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000395590 (pp) 9606.ENSP00000496832","0.811","0.0","0.0","0.418","0.0",,"0.0","0.954","0.618"
,,,,,,"pp","9606.ENSP00000380697 (pp) 9606.ENSP00000382707","false","pp","9606.ENSP00000380697 (pp) 9606.ENSP00000382707","0.28","0.0","0.0","0.0","0.0",,"0.0","0.715","0.621"
,,,,,,"pp","9606.ENSP00000380697 (pp) 9606.ENSP00000483430","false","pp","9606.ENSP00000380697 (pp) 9606.ENSP00000483430","0.44","0.0","0.0","0.048","0.0",,"0.0","0.821","0.692"
,,,,,,"pp","9606.ENSP00000380697 (pp) 9606.ENSP00000490935","false","pp","9606.ENSP00000380697 (pp) 9606.ENSP00000490935","0.472","0.0","0.0","0.052","0.0",,"0.0","0.837","0.7"
,,,,,,"pp","9606.ENSP00000380697 (pp) 9606.ENSP00000395590","false","pp","9606.ENSP00000380697 (pp) 9606.ENSP00000395590","0.787","0.0","0.0","0.0","0.0",,"0.0","0.913","0.609"
,,,,,,"pp","9606.ENSP00000380697 (pp) 9606.ENSP00000388001","false","pp","9606.ENSP00000380697 (pp) 9606.ENSP00000388001","0.789","0.0","0.0","0.0","0.0",,"0.0","0.959","0.817"
,,,,,,"pp","9606.ENSP00000380697 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000380697 (pp) 9606.ENSP00000496832","0.809","0.0","0.0","0.045","0.0",,"0.0","0.973","0.867"
,,,,,,"pp","9606.ENSP00000380697 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000380697 (pp) 9606.ENSP00000497271","0.53","0.0","0.5","0.095","0.0",,"0.0","0.974","0.895"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000382707","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000382707","0.396","0.0","0.0","0.0","0.0",,"0.0","0.846","0.757"
,,,,,,"pp","9606.ENSP00000382707 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000382707 (pp) 9606.ENSP00000497271","0.233","0.0","0.0","0.0","0.0",,"0.0","0.757","0.697"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000380697","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000380697","0.766","0.0","0.0","0.0","0.0",,"0.0","0.897","0.579"
,,,,,,"pp","9606.ENSP00000382707 (pp) 9606.ENSP00000388001","false","pp","9606.ENSP00000382707 (pp) 9606.ENSP00000388001","0.26","0.0","0.0","0.0","0.0",,"0.0","0.812","0.757"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000377344","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000377344","0.776","0.0","0.0","0.0","0.0",,"0.0","0.899","0.57"
,,,,,,"pp","9606.ENSP00000382707 (pp) 9606.ENSP00000490935","false","pp","9606.ENSP00000382707 (pp) 9606.ENSP00000490935","0.264","0.0","0.0","0.064","0.0",,"0.0","0.828","0.77"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000395590","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000395590","0.771","0.0","0.0","0.0","0.0",,"0.0","0.902","0.591"
,,,,,,"pp","9606.ENSP00000382707 (pp) 9606.ENSP00000483430","false","pp","9606.ENSP00000382707 (pp) 9606.ENSP00000483430","0.393","0.0","0.0","0.0","0.0",,"0.0","0.829","0.73"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000497271","0.786","0.0","0.0","0.0","0.0",,"0.0","0.904","0.571"
,,,,,,"pp","9606.ENSP00000382707 (pp) 9606.ENSP00000395590","false","pp","9606.ENSP00000382707 (pp) 9606.ENSP00000395590","0.476","0.0","0.0","0.0","0.0",,"0.0","0.847","0.721"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000490935","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000490935","0.779","0.0","0.0","0.0","0.0",,"0.0","0.921","0.66"
,,,,,,"pp","9606.ENSP00000382707 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000382707 (pp) 9606.ENSP00000496832","0.543","0.0","0.0","0.071","0.0",,"0.0","0.911","0.807"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000388001","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000388001","0.78","0.0","0.0","0.0","0.0",,"0.0","0.955","0.806"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000496832","0.781","0.0","0.0","0.0","0.0",,"0.0","0.963","0.84"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000483430","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000483430","0.777","0.0","0.0","0.128","0.0",,"0.0","0.977","0.894"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000360876","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000360876","0.846","0.0","0.0","0.0","0.0",,"0.0","0.982","0.888"
,,,,,,"pp","9606.ENSP00000359787 (pp) 9606.ENSP00000371471","false","pp","9606.ENSP00000359787 (pp) 9606.ENSP00000371471","0.999","0.0","0.0","0.0","0.0",,"0.0","0.999","0.909"
,,,,,,"pp","9606.ENSP00000490935 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000490935 (pp) 9606.ENSP00000496832","0.791","0.0","0.0","0.109","0.0",,"0.0","0.975","0.877"
,,,,,,"pp","9606.ENSP00000490935 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000490935 (pp) 9606.ENSP00000497271","0.814","0.0","0.0","0.0","0.0",,"0.0","0.976","0.88"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000382707","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000382707","0.39","0.0","0.0","0.0","0.0",,"0.0","0.844","0.756"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000377344","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000377344","0.796","0.0","0.0","0.0","0.0",,"0.0","0.919","0.621"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000380697","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000380697","0.661","0.0","0.0","0.0","0.0",,"0.0","0.919","0.772"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000395590","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000395590","0.784","0.0","0.0","0.0","0.0",,"0.0","0.924","0.664"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000483430","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000483430","0.772","0.0","0.0","0.0","0.0",,"0.0","0.945","0.769"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000497271","0.823","0.0","0.0","0.052","0.0",,"0.0","0.954","0.751"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000388001","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000388001","0.796","0.0","0.0","0.0","0.0",,"0.0","0.961","0.82"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000496832","0.803","0.0","0.0","0.0","0.0",,"0.0","0.964","0.828"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000490935","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000490935","0.813","0.0","0.0","0.0","0.0",,"0.0","0.964","0.818"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000371471","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000371471","0.91","0.0","0.0","0.0","0.0",,"0.0","0.983","0.823"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000360876","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000360876","0.827","0.0","0.0","0.0","0.0",,"0.0","0.984","0.913"
,,,,,,"pp","9606.ENSP00000359783 (pp) 9606.ENSP00000359787","false","pp","9606.ENSP00000359783 (pp) 9606.ENSP00000359787","0.999","0.086","0.0","0.0","0.0",,"0.0","0.999","0.702"
,,,,,,"pp","9606.ENSP00000496832 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000496832 (pp) 9606.ENSP00000497271","0.785","0.0","0.5","0.292","0.0",,"0.0","0.994","0.934"
,,,,,,"pp","9606.ENSP00000371471 (pp) 9606.ENSP00000382707","false","pp","9606.ENSP00000371471 (pp) 9606.ENSP00000382707","0.255","0.0","0.0","0.0","0.0",,"0.0","0.744","0.67"
,,,,,,"pp","9606.ENSP00000371471 (pp) 9606.ENSP00000395590","false","pp","9606.ENSP00000371471 (pp) 9606.ENSP00000395590","0.687","0.0","0.0","0.0","0.0",,"0.0","0.845","0.526"
,,,,,,"pp","9606.ENSP00000371471 (pp) 9606.ENSP00000377344","false","pp","9606.ENSP00000371471 (pp) 9606.ENSP00000377344","0.789","0.0","0.0","0.0","0.0",,"0.0","0.911","0.598"
,,,,,,"pp","9606.ENSP00000371471 (pp) 9606.ENSP00000380697","false","pp","9606.ENSP00000371471 (pp) 9606.ENSP00000380697","0.678","0.0","0.0","0.095","0.0",,"0.0","0.915","0.734"
,,,,,,"pp","9606.ENSP00000371471 (pp) 9606.ENSP00000497271","false","pp","9606.ENSP00000371471 (pp) 9606.ENSP00000497271","0.824","0.0","0.0","0.0","0.0",,"0.0","0.954","0.749"
,,,,,,"pp","9606.ENSP00000371471 (pp) 9606.ENSP00000483430","false","pp","9606.ENSP00000371471 (pp) 9606.ENSP00000483430","0.77","0.0","0.0","0.0","0.0",,"0.0","0.958","0.826"
,,,,,,"pp","9606.ENSP00000371471 (pp) 9606.ENSP00000490935","false","pp","9606.ENSP00000371471 (pp) 9606.ENSP00000490935","0.816","0.0","0.0","0.094","0.0",,"0.0","0.962","0.793"
,,,,,,"pp","9606.ENSP00000371471 (pp) 9606.ENSP00000388001","false","pp","9606.ENSP00000371471 (pp) 9606.ENSP00000388001","0.818","0.0","0.0","0.091","0.0",,"0.0","0.967","0.821"
,,,,,,"pp","9606.ENSP00000371471 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000371471 (pp) 9606.ENSP00000496832","0.815","0.0","0.0","0.0","0.0",,"0.0","0.978","0.889"
,,,,,,"pp","9606.ENSP00000359504 (pp) 9606.ENSP00000395590","false","pp","9606.ENSP00000359504 (pp) 9606.ENSP00000395590","0.48","0.0","0.0","0.0","0.0",,"0.0","0.738","0.518"
,,,,,,"pp","9606.ENSP00000359504 (pp) 9606.ENSP00000388001","false","pp","9606.ENSP00000359504 (pp) 9606.ENSP00000388001","0.371","0.0","0.0","0.0","0.0",,"0.0","0.75","0.618"
,,,,,,"pp","9606.ENSP00000360876 (pp) 9606.ENSP00000380697","false","pp","9606.ENSP00000360876 (pp) 9606.ENSP00000380697","0.656","0.0","0.0","0.052","0.0",,"0.0","0.893","0.699"
,,,,,,"pp","9606.ENSP00000359504 (pp) 9606.ENSP00000496832","false","pp","9606.ENSP00000359504 (pp) 9606.ENSP00000496832","0.341","0.0","0.0","0.0","0.0",,"0.0","0.754","0.643"
